id,sentiment
"12311_10",0.9269108757091808
"8348_2",0.13254476713458102
"5828_4",0.6362087223237953
"7186_2",0.6000498898364002
"12128_7",0.8274537640069151
"2913_8",0.6439758895365495
"4396_1",0.11716481517026553
"395_2",0.3356705304045431
"10616_1",0.023754780081671756
"9074_9",0.5666860577518351
"9252_3",0.24058928005159455
"9896_9",0.6441097467567808
"574_4",0.5506992873088384
"11182_8",0.6137775149972953
"11656_4",0.4520366819851405
"2322_4",0.5657085896342318
"8703_1",0.3266286547537901
"7483_1",0.17044433793535407
"6007_10",0.7863223801494903
"12424_4",0.14131074618543407
"4672_1",0.038953407214339084
"10841_3",0.13321381777259725
"8954_7",0.41213124938975276
"7392_1",0.20498237400914074
"10288_8",0.7394588838786874
"5343_4",0.10548701426507923
"4950_1",0.04107202031754557
"9257_4",0.574780156848402
"8689_3",0.26362168019831855
"4480_2",0.3700629551252801
"9286_10",0.8389678829091183
"12245_10",0.9459484175723026
"7529_7",0.7546862841674025
"4_4",0.31016621701360714
"5299_2",0.08844864503515956
"12077_8",0.6425737184104137
"10701_2",0.10646104617786982
"11579_1",0.11317121568240024
"10993_1",0.14628988484182723
"8913_1",0.16232298347016294
"1350_3",0.3346802774286876
"3804_2",0.17702669197950588
"5025_3",0.3778536480463303
"5170_8",0.42282009440229784
"8225_8",0.8597826072165634
"6427_7",0.7488032758312659
"3165_3",0.5162298033749474
"7902_9",0.9157881639817738
"8208_3",0.04546094840018381
"3577_8",0.7897860867048645
"4865_1",0.1685100081754137
"9063_3",0.33120856307746377
"1106_1",0.3969375438939992
"1117_9",0.8936750354235049
"1050_4",0.4562805423594553
"10755_9",0.5794963699067037
"2729_8",0.7346709650554798
"10072_10",0.842712782904012
"2904_7",0.8231724337733117
"4584_2",0.5654099711462867
"189_4",0.5858170361044585
"6302_4",0.3744322156785622
"8138_9",0.6815255423389472
"1262_1",0.28811184244265003
"2199_10",0.8189430757454097
"6551_7",0.7319240454194518
"8082_7",0.4338188771358559
"4897_8",0.8781027917139111
"7360_1",0.133843759571558
"11012_10",0.7765855357581907
"12046_1",0.4806179899713602
"2331_2",0.420991840377726
"8961_9",0.7987324396574608
"751_7",0.5113354250409884
"9884_10",0.738923783275565
"10016_8",0.7886826024588357
"8023_10",0.7525523183971684
"2628_1",0.0989251073868691
"5832_1",0.07518566323262657
"7302_1",0.12590390397757367
"4501_3",0.40433561588933964
"1121_7",0.5412606099904302
"8334_3",0.4666159609937778
"9789_10",0.43521012535189774
"4230_10",0.7374486918107076
"824_4",0.30750769565006963
"6803_9",0.7773844249835159
"3086_7",0.7624542915844597
"1135_8",0.8304238575421349
"10136_1",0.08161650093055803
"11129_3",0.10032258082819656
"2072_8",0.6402688975706204
"9501_7",0.8427698071404276
"319_10",0.7586985005512565
"1693_7",0.8501051157443695
"10886_1",0.0426650027148475
"9406_8",0.6802354363944312
"10376_10",0.37110195819671726
"9902_1",0.16805066136824845
"9938_8",0.4136633811644186
"7080_9",0.6982213868684359
"11944_8",0.5929421503124453
"5249_1",0.09079909826468067
"9599_2",0.2799820297115575
"9620_1",0.2898175535013853
"11244_1",0.16084089518151504
"6841_10",0.8924644415471472
"10050_4",0.6756478832271804
"10512_9",0.8250917493436983
"11327_3",0.08233940138137019
"10681_8",0.7710478258942002
"808_3",0.48011542296785986
"546_7",0.9070714348424427
"10765_1",0.04458924583436377
"7189_9",0.5129953556694724
"6005_9",0.7573391592376203
"11915_9",0.7162800340586472
"5740_10",0.7168275771981324
"7097_10",0.3717188414871005
"9573_10",0.6077761817594499
"5084_4",0.4786254550814025
"12332_7",0.5609802257840428
"8154_1",0.12805016611712358
"5610_1",0.31050492413947045
"5323_9",0.7108439041080528
"11034_8",0.6974209958360859
"3977_2",0.30519011603119583
"12380_7",0.30479639757748717
"1737_8",0.5380167108765257
"6030_9",0.6740722165275115
"5918_7",0.8388698225454985
"7061_9",0.631944914573611
"266_8",0.8529681094411063
"1375_10",0.8192365081056692
"8648_3",0.09561739195613765
"10146_10",0.8695823619670628
"4578_10",0.7205796693502937
"4685_8",0.7740769104754431
"11843_9",0.6792572746347837
"5467_10",0.9018575324982947
"10140_10",0.7820955242065988
"7721_8",0.8513112953800049
"11208_10",0.313599194081465
"1063_10",0.773652348634152
"8260_10",0.5684537189062427
"3182_9",0.7986891845734977
"2797_8",0.7751176315144276
"7613_2",0.8247795288501952
"11624_4",0.23392286748153365
"4847_10",0.8871864622148291
"10684_7",0.5594532264796278
"6312_1",0.4757846253127445
"4925_3",0.15214588510026544
"4125_1",0.04955331516132929
"2394_10",0.9545556496232313
"12105_10",0.7592529335920868
"7812_1",0.06098441203615386
"1061_8",0.7597568591788271
"9343_3",0.5320326864871576
"7696_10",0.9188078800690735
"9355_10",0.9510888920369212
"782_9",0.8949120390713831
"9882_10",0.9515623189654573
"10642_10",0.7508646629991533
"7410_2",0.16297224112540384
"9591_4",0.1632758768321867
"11902_3",0.2958243925618
"3495_7",0.29354836056688394
"6733_1",0.08476412434809479
"4552_1",0.014092871214968265
"6722_1",0.22364592637181824
"188_10",0.7704531834560532
"5099_10",0.8413844783341335
"10313_1",0.2592339370744519
"6756_9",0.7444489710599846
"6622_2",0.10736217306468769
"4807_10",0.9321184531064582
"7173_3",0.37806914890497206
"11321_8",0.6541670544163297
"7909_9",0.3778216708719805
"8012_7",0.22587796882941852
"8615_4",0.20479683869863224
"8117_10",0.7740749946795955
"1892_10",0.6720447117882284
